temp,humidity,predicted_disease
24.4,62.1,Powdery mildew
26.5,72.1,Powdery mildew
25.8,73.3,Powdery mildew
25.5,74.1,Powdery mildew
21.9,63.2,Powdery mildew
22,60.8,Powdery mildew
22.7,69,Powdery mildew
23.7,69.2,Powdery mildew
24.5,64.8,Powdery mildew
24.5,72.6,Powdery mildew
24.6,77.9,Powdery mildew
23.8,69.6,Powdery mildew
24,76.9,Powdery mildew
23.7,78.1,Powdery mildew
23.6,72.8,Powdery mildew
23.7,69.8,Powdery mildew
24.6,60.6,Powdery mildew
23.7,67.6,Powdery mildew
23.9,68.8,Powdery mildew
28.1,75.1,Powdery mildew
28.3,71.9,Powdery mildew
29,73.7,Powdery mildew
28.9,74.7,Powdery mildew
29.3,77.1,Powdery mildew
29.5,70.6,Powdery mildew
28.6,73.9,Powdery mildew
28.1,70.5,Powdery mildew
28.4,71.5,Powdery mildew
29.2,75.4,Powdery mildew
29.7,78,Powdery mildew
29.8,77,Powdery mildew
29.5,78.6,Powdery mildew
29.8,79.1,Powdery mildew
29.2,72.5,Powdery mildew
29.5,71.1,Powdery mildew
29.4,72.3,Powdery mildew
29.9,78.3,Powdery mildew
29.8,78.9,Powdery mildew
29.7,78.4,Powdery mildew
28.3,76.3,Powdery mildew
29.3,79.9,Powdery mildew
28.4,79.7,Powdery mildew
28.7,79.6,Powdery mildew
28.8,79.6,Powdery mildew
28.5,77.3,Powdery mildew
28.5,70,Powdery mildew
29.6,71.6,Powdery mildew
23.8,66.5,Powdery mildew
24.8,62.7,Powdery mildew
24.5,62.9,Powdery mildew
23.8,66.9,Powdery mildew
22.3,65.4,Powdery mildew
23,64.5,Powdery mildew
24.1,61.9,Powdery mildew
24,66.5,Powdery mildew
24.1,64.5,Powdery mildew
25.2,71.3,Powdery mildew
24.5,68.4,Powdery mildew
24.1,76.3,Powdery mildew
28.7,70.6,Powdery mildew
29.1,76.6,Powdery mildew
29.7,71.7,Powdery mildew
27.4,77.4,Powdery mildew
29.4,79.6,Powdery mildew
29.2,75.5,Powdery mildew
29.9,76.9,Powdery mildew
29.9,79.1,Powdery mildew
29.5,75.4,Powdery mildew
29.7,74.3,Powdery mildew
29.2,77.7,Powdery mildew
29.6,79.4,Powdery mildew
28.8,76,Powdery mildew
29.9,73.6,Powdery mildew
23.7,61.6,Powdery mildew
23,60.8,Powdery mildew
22.1,62,Powdery mildew
20.1,60.1,Powdery mildew
20.2,64.2,Powdery mildew
20.4,62.2,Powdery mildew
20.5,64.5,Powdery mildew
22,63.4,Powdery mildew
20.6,61.9,Powdery mildew
21.7,61,Powdery mildew
23.7,61.3,Powdery mildew
21.8,65.9,Powdery mildew
20.8,68.4,Powdery mildew
20.3,63.3,Powdery mildew
24.1,66.2,Powdery mildew
25.6,70.3,Powdery mildew
29.2,75.3,Powdery mildew
28.6,76,Powdery mildew
29.3,71.5,Powdery mildew
29.9,76,Powdery mildew
29.6,73.2,Powdery mildew
29.4,74.3,Powdery mildew
28.4,78.7,Powdery mildew
29.9,74.3,Powdery mildew
29.8,74.9,Powdery mildew
28.8,72.4,Powdery mildew
28.8,77.1,Powdery mildew
29.5,70.4,Powdery mildew
26.7,79.1,Powdery mildew
28.9,74.4,Powdery mildew
28.8,77.4,Powdery mildew
29.6,75.9,Powdery mildew
29.1,79.3,Powdery mildew
29.2,77.3,Powdery mildew
27.9,74.3,Powdery mildew
26,79.1,Powdery mildew
27.8,73.9,Powdery mildew
29.1,73.7,Powdery mildew
29.9,72,Powdery mildew
29.8,72.9,Powdery mildew
28.9,74.2,Powdery mildew
29,72,Powdery mildew
27.6,75.6,Powdery mildew
27.7,70.3,Powdery mildew
27.6,71.6,Powdery mildew
28.5,72.5,Powdery mildew
28.6,71.3,Powdery mildew
27.5,72.5,Powdery mildew
25.5,71.6,Powdery mildew
